ID,Length,Width,Height,Source_X,Source_Y,Source_Z,Receiver_X,Receiver_Y,Receiver_Z, f1,f2,f3,f4,f5,f6,f7
12,3.0,3.0,4.0,2.0,2.0,1.5,1.0,1.0,1.5,0.26,0.42,0.61,0.61,0.61,0.65,0.65
12,3.0,3.0,4.0,2.0,2.0,1.5,1.0,1.0,1.5,0.24,0.38,0.51,0.47,0.37,0.32,0.31
12,3.0,3.0,4.0,2.0,2.0,1.5,1.0,1.0,1.5,0.21,0.34,0.45,0.44,0.38,0.34,0.34
12,3.0,3.0,4.0,2.0,2.0,1.5,1.0,1.0,1.5,0.14,0.16,0.25,0.24,0.22,0.24,0.24
12,3.0,3.0,4.0,2.0,2.0,1.5,1.0,1.0,1.5,0.22,0.18,0.17,0.12,0.08,0.05,0.05
12,3.0,3.0,4.0,2.0,2.0,1.5,1.0,1.0,1.5,0.17,0.2,0.24,0.26,0.24,0.24,0.23
13,3.0,3.5,2.5,1.8,2.2,1.5,1.0,1.4,1.5,0.19,0.34,0.55,0.62,0.62,0.65,0.65
13,3.0,3.5,2.5,1.8,2.2,1.5,1.0,1.4,1.5,0.26,0.42,0.6,0.59,0.56,0.58,0.58
13,3.0,3.5,2.5,1.8,2.2,1.5,1.0,1.4,1.5,0.16,0.17,0.16,0.13,0.06,0.06,0.05
13,3.0,3.5,2.5,1.8,2.2,1.5,1.0,1.4,1.5,0.29,0.6,0.85,0.83,0.69,0.63,0.62
13,3.0,3.5,2.5,1.8,2.2,1.5,1.0,1.4,1.5,0.26,0.42,0.61,0.61,0.61,0.65,0.65
13,3.0,3.5,2.5,1.8,2.2,1.5,1.0,1.4,1.5,0.24,0.38,0.51,0.47,0.37,0.32,0.31
13,3.0,3.5,2.5,1.8,2.2,1.5,1.0,1.4,1.5,0.21,0.34,0.45,0.44,0.38,0.34,0.34
13,3.0,3.5,2.5,1.8,2.2,1.5,1.0,1.4,1.5,0.14,0.16,0.25,0.24,0.22,0.24,0.24
13,3.0,3.5,2.5,1.8,2.2,1.5,1.0,1.4,1.5,0.22,0.18,0.17,0.12,0.08,0.05,0.05
13,3.0,3.5,2.5,1.8,2.2,1.5,1.0,1.4,1.5,0.17,0.2,0.24,0.26,0.24,0.24,0.23
14,3.0,3.5,2.5,1.0,2.2,1.5,1.4,1.0,1.5,0.19,0.34,0.55,0.62,0.62,0.65,0.65
14,3.0,3.5,2.5,1.0,2.2,1.5,1.4,1.0,1.5,0.26,0.42,0.6,0.59,0.56,0.58,0.58
14,3.0,3.5,2.5,1.0,2.2,1.5,1.4,1.0,1.5,0.16,0.17,0.16,0.13,0.06,0.06,0.05
14,3.0,3.5,2.5,1.0,2.2,1.5,1.4,1.0,1.5,0.29,0.6,0.85,0.83,0.69,0.63,0.62
14,3.0,3.5,2.5,1.0,2.2,1.5,1.4,1.0,1.5,0.26,0.42,0.61,0.61,0.61,0.65,0.65
14,3.0,3.5,2.5,1.0,2.2,1.5,1.4,1.0,1.5,0.24,0.38,0.51,0.47,0.37,0.32,0.31
14,3.0,3.5,2.5,1.0,2.2,1.5,1.4,1.0,1.5,0.21,0.34,0.45,0.44,0.38,0.34,0.34
14,3.0,3.5,2.5,1.0,2.2,1.5,1.4,1.0,1.5,0.14,0.16,0.25,0.24,0.22,0.24,0.24
14,3.0,3.5,2.5,1.0,2.2,1.5,1.4,1.0,1.5,0.22,0.18,0.17,0.12,0.08,0.05,0.05
14,3.0,3.5,2.5,1.0,2.2,1.5,1.4,1.0,1.5,0.17,0.2,0.24,0.26,0.24,0.24,0.23
15,3.0,3.5,2.5,1.0,2.2,1.5,1.8,1.4,1.5,0.19,0.34,0.55,0.62,0.62,0.65,0.65
15,3.0,3.5,2.5,1.0,2.2,1.5,1.8,1.4,1.5,0.26,0.42,0.6,0.59,0.56,0.58,0.58
15,3.0,3.5,2.5,1.0,2.2,1.5,1.8,1.4,1.5,0.16,0.17,0.16,0.13,0.06,0.06,0.05
15,3.0,3.5,2.5,1.0,2.2,1.5,1.8,1.4,1.5,0.29,0.6,0.85,0.83,0.69,0.63,0.62
15,3.0,3.5,2.5,1.0,2.2,1.5,1.8,1.4,1.5,0.26,0.42,0.61,0.61,0.61,0.65,0.65
15,3.0,3.5,2.5,1.0,2.2,1.5,1.8,1.4,1.5,0.24,0.38,0.51,0.47,0.37,0.32,0.31
15,3.0,3.5,2.5,1.0,2.2,1.5,1.8,1.4,1.5,0.21,0.34,0.45,0.44,0.38,0.34,0.34
15,3.0,3.5,2.5,1.0,2.2,1.5,1.8,1.4,1.5,0.14,0.16,0.25,0.24,0.22,0.24,0.24
15,3.0,3.5,2.5,1.0,2.2,1.5,1.8,1.4,1.5,0.22,0.18,0.17,0.12,0.08,0.05,0.05
15,3.0,3.5,2.5,1.0,2.2,1.5,1.8,1.4,1.5,0.17,0.2,0.24,0.26,0.24,0.24,0.23
16,3.0,3.5,3.0,1.8,2.2,1.5,1.0,1.4,1.5,0.19,0.34,0.55,0.62,0.62,0.65,0.65
16,3.0,3.5,3.0,1.8,2.2,1.5,1.0,1.4,1.5,0.26,0.42,0.6,0.59,0.56,0.58,0.58
16,3.0,3.5,3.0,1.8,2.2,1.5,1.0,1.4,1.5,0.16,0.17,0.16,0.13,0.06,0.06,0.05
16,3.0,3.5,3.0,1.8,2.2,1.5,1.0,1.4,1.5,0.29,0.6,0.85,0.83,0.69,0.63,0.62
16,3.0,3.5,3.0,1.8,2.2,1.5,1.0,1.4,1.5,0.26,0.42,0.61,0.61,0.61,0.65,0.65
16,3.0,3.5,3.0,1.8,2.2,1.5,1.0,1.4,1.5,0.24,0.38,0.51,0.47,0.37,0.32,0.31
16,3.0,3.5,3.0,1.8,2.2,1.5,1.0,1.4,1.5,0.21,0.34,0.45,0.44,0.38,0.34,0.34
16,3.0,3.5,3.0,1.8,2.2,1.5,1.0,1.4,1.5,0.14,0.16,0.25,0.24,0.22,0.24,0.24
16,3.0,3.5,3.0,1.8,2.2,1.5,1.0,1.4,1.5,0.22,0.18,0.17,0.12,0.08,0.05,0.05
16,3.0,3.5,3.0,1.8,2.2,1.5,1.0,1.4,1.5,0.17,0.2,0.24,0.26,0.24,0.24,0.23
17,3.0,3.5,3.0,1.0,2.2,1.5,1.4,1.0,1.5,0.19,0.34,0.55,0.62,0.62,0.65,0.65
17,3.0,3.5,3.0,1.0,2.2,1.5,1.4,1.0,1.5,0.26,0.42,0.6,0.59,0.56,0.58,0.58
17,3.0,3.5,3.0,1.0,2.2,1.5,1.4,1.0,1.5,0.16,0.17,0.16,0.13,0.06,0.06,0.05
17,3.0,3.5,3.0,1.0,2.2,1.5,1.4,1.0,1.5,0.29,0.6,0.85,0.83,0.69,0.63,0.62
17,3.0,3.5,3.0,1.0,2.2,1.5,1.4,1.0,1.5,0.26,0.42,0.61,0.61,0.61,0.65,0.65
17,3.0,3.5,3.0,1.0,2.2,1.5,1.4,1.0,1.5,0.24,0.38,0.51,0.47,0.37,0.32,0.31
17,3.0,3.5,3.0,1.0,2.2,1.5,1.4,1.0,1.5,0.21,0.34,0.45,0.44,0.38,0.34,0.34
17,3.0,3.5,3.0,1.0,2.2,1.5,1.4,1.0,1.5,0.14,0.16,0.25,0.24,0.22,0.24,0.24
17,3.0,3.5,3.0,1.0,2.2,1.5,1.4,1.0,1.5,0.22,0.18,0.17,0.12,0.08,0.05,0.05
17,3.0,3.5,3.0,1.0,2.2,1.5,1.4,1.0,1.5,0.17,0.2,0.24,0.26,0.24,0.24,0.23
18,3.0,3.5,3.0,1.0,2.2,1.5,1.8,1.4,1.5,0.19,0.34,0.55,0.62,0.62,0.65,0.65
18,3.0,3.5,3.0,1.0,2.2,1.5,1.8,1.4,1.5,0.26,0.42,0.6,0.59,0.56,0.58,0.58
18,3.0,3.5,3.0,1.0,2.2,1.5,1.8,1.4,1.5,0.16,0.17,0.16,0.13,0.06,0.06,0.05
18,3.0,3.5,3.0,1.0,2.2,1.5,1.8,1.4,1.5,0.29,0.6,0.85,0.83,0.69,0.63,0.62
18,3.0,3.5,3.0,1.0,2.2,1.5,1.8,1.4,1.5,0.26,0.42,0.61,0.61,0.61,0.65,0.65
18,3.0,3.5,3.0,1.0,2.2,1.5,1.8,1.4,1.5,0.24,0.38,0.51,0.47,0.37,0.32,0.31
18,3.0,3.5,3.0,1.0,2.2,1.5,1.8,1.4,1.5,0.21,0.34,0.45,0.44,0.38,0.34,0.34
18,3.0,3.5,3.0,1.0,2.2,1.5,1.8,1.4,1.5,0.14,0.16,0.25,0.24,0.22,0.24,0.24
18,3.0,3.5,3.0,1.0,2.2,1.5,1.8,1.4,1.5,0.22,0.18,0.17,0.12,0.08,0.05,0.05
18,3.0,3.5,3.0,1.0,2.2,1.5,1.8,1.4,1.5,0.17,0.2,0.24,0.26,0.24,0.24,0.23
19,3.0,3.5,3.5,1.8,2.2,1.5,1.0,1.4,1.5,0.19,0.34,0.55,0.62,0.62,0.65,0.65
19,3.0,3.5,3.5,1.8,2.2,1.5,1.0,1.4,1.5,0.26,0.42,0.6,0.59,0.56,0.58,0.58
19,3.0,3.5,3.5,1.8,2.2,1.5,1.0,1.4,1.5,0.16,0.17,0.16,0.13,0.06,0.06,0.05
19,3.0,3.5,3.5,1.8,2.2,1.5,1.0,1.4,1.5,0.29,0.6,0.85,0.83,0.69,0.63,0.62
19,3.0,3.5,3.5,1.8,2.2,1.5,1.0,1.4,1.5,0.26,0.42,0.61,0.61,0.61,0.65,0.65
19,3.0,3.5,3.5,1.8,2.2,1.5,1.0,1.4,1.5,0.24,0.38,0.51,0.47,0.37,0.32,0.31
19,3.0,3.5,3.5,1.8,2.2,1.5,1.0,1.4,1.5,0.21,0.34,0.45,0.44,0.38,0.34,0.34
19,3.0,3.5,3.5,1.8,2.2,1.5,1.0,1.4,1.5,0.14,0.16,0.25,0.24,0.22,0.24,0.24
19,3.0,3.5,3.5,1.8,2.2,1.5,1.0,1.4,1.5,0.22,0.18,0.17,0.12,0.08,0.05,0.05
19,3.0,3.5,3.5,1.8,2.2,1.5,1.0,1.4,1.5,0.17,0.2,0.24,0.26,0.24,0.24,0.23
20,3.0,3.5,3.5,1.0,2.2,1.5,1.4,1.0,1.5,0.19,0.34,0.55,0.62,0.62,0.65,0.65
20,3.0,3.5,3.5,1.0,2.2,1.5,1.4,1.0,1.5,0.26,0.42,0.6,0.59,0.56,0.58,0.58
20,3.0,3.5,3.5,1.0,2.2,1.5,1.4,1.0,1.5,0.16,0.17,0.16,0.13,0.06,0.06,0.05
20,3.0,3.5,3.5,1.0,2.2,1.5,1.4,1.0,1.5,0.29,0.6,0.85,0.83,0.69,0.63,0.62
20,3.0,3.5,3.5,1.0,2.2,1.5,1.4,1.0,1.5,0.26,0.42,0.61,0.61,0.61,0.65,0.65
20,3.0,3.5,3.5,1.0,2.2,1.5,1.4,1.0,1.5,0.24,0.38,0.51,0.47,0.37,0.32,0.31
20,3.0,3.5,3.5,1.0,2.2,1.5,1.4,1.0,1.5,0.21,0.34,0.45,0.44,0.38,0.34,0.34
20,3.0,3.5,3.5,1.0,2.2,1.5,1.4,1.0,1.5,0.14,0.16,0.25,0.24,0.22,0.24,0.24
20,3.0,3.5,3.5,1.0,2.2,1.5,1.4,1.0,1.5,0.22,0.18,0.17,0.12,0.08,0.05,0.05
20,3.0,3.5,3.5,1.0,2.2,1.5,1.4,1.0,1.5,0.17,0.2,0.24,0.26,0.24,0.24,0.23
21,3.0,3.5,3.5,1.0,2.2,1.5,1.8,1.4,1.5,0.19,0.34,0.55,0.62,0.62,0.65,0.65
21,3.0,3.5,3.5,1.0,2.2,1.5,1.8,1.4,1.5,0.26,0.42,0.6,0.59,0.56,0.58,0.58
21,3.0,3.5,3.5,1.0,2.2,1.5,1.8,1.4,1.5,0.16,0.17,0.16,0.13,0.06,0.06,0.05
21,3.0,3.5,3.5,1.0,2.2,1.5,1.8,1.4,1.5,0.29,0.6,0.85,0.83,0.69,0.63,0.62
21,3.0,3.5,3.5,1.0,2.2,1.5,1.8,1.4,1.5,0.26,0.42,0.61,0.61,0.61,0.65,0.65
21,3.0,3.5,3.5,1.0,2.2,1.5,1.8,1.4,1.5,0.24,0.38,0.51,0.47,0.37,0.32,0.31
21,3.0,3.5,3.5,1.0,2.2,1.5,1.8,1.4,1.5,0.21,0.34,0.45,0.44,0.38,0.34,0.34
21,3.0,3.5,3.5,1.0,2.2,1.5,1.8,1.4,1.5,0.14,0.16,0.25,0.24,0.22,0.24,0.24
