filename,RT60_RT20,Corr_RT60_RT20,RT60_RT30,Corr_RT60_RT30
RIR_023_case8.wav,0.582,0.999,0.65,0.998
RIR_023_case9.wav,0.306,0.997,0.472,0.991
RIR_024_case0.wav,0.142,0.996,0.225,0.989
RIR_024_case1.wav,0.121,0.999,0.147,0.997
RIR_024_case2.wav,1.835,0.998,2.178,0.997
RIR_024_case3.wav,0.106,0.999,0.124,0.998
RIR_024_case4.wav,0.101,0.999,0.14,0.995
RIR_024_case5.wav,0.373,0.998,0.412,0.998
RIR_024_case6.wav,0.418,0.997,0.626,0.992
RIR_024_case7.wav,0.502,0.996,0.701,0.992
RIR_024_case8.wav,0.584,0.999,0.645,0.998
RIR_024_case9.wav,0.323,0.996,0.455,0.99
RIR_025_case0.wav,0.143,0.995,0.223,0.988
RIR_025_case1.wav,0.101,0.999,0.13,0.997
RIR_025_case2.wav,1.793,0.998,2.179,0.996
RIR_025_case3.wav,0.102,1.0,0.116,0.999
RIR_025_case4.wav,0.098,0.999,0.148,0.994
RIR_025_case5.wav,0.367,0.999,0.433,0.997
RIR_025_case6.wav,0.445,0.997,0.751,0.992
RIR_025_case7.wav,0.683,0.994,0.79,0.993
RIR_025_case8.wav,0.617,0.999,0.707,0.998
RIR_025_case9.wav,0.364,0.997,0.564,0.99
RIR_026_case0.wav,0.147,0.997,0.232,0.99
RIR_026_case1.wav,0.115,0.999,0.134,0.998
RIR_026_case2.wav,1.806,0.998,2.206,0.996
RIR_026_case3.wav,0.107,1.0,0.12,0.999
RIR_026_case4.wav,0.105,0.999,0.134,0.997
RIR_026_case5.wav,0.373,0.999,0.437,0.997
RIR_026_case6.wav,0.465,0.998,0.767,0.991
RIR_026_case7.wav,0.647,0.994,0.9,0.992
RIR_026_case8.wav,0.615,0.999,0.716,0.998
RIR_026_case9.wav,0.4,0.996,0.598,0.991
RIR_027_case0.wav,0.161,0.991,0.228,0.988
RIR_027_case1.wav,0.099,0.997,0.129,0.996
RIR_027_case2.wav,1.773,0.998,2.176,0.996
RIR_027_case3.wav,0.093,0.998,0.11,0.997
RIR_027_case4.wav,0.095,0.997,0.135,0.994
RIR_027_case5.wav,0.373,0.997,0.396,0.997
RIR_027_case6.wav,0.497,0.994,0.718,0.991
RIR_027_case7.wav,0.581,0.995,0.649,0.993
RIR_027_case8.wav,0.584,0.999,0.687,0.998
RIR_027_case9.wav,0.357,0.996,0.516,0.992
RIR_028_case0.wav,0.139,0.997,0.218,0.989
RIR_028_case1.wav,0.107,0.999,0.137,0.996
RIR_028_case2.wav,1.845,0.998,2.239,0.997
RIR_028_case3.wav,0.103,1.0,0.122,0.999
RIR_028_case4.wav,0.106,0.999,0.144,0.996
RIR_028_case5.wav,0.352,0.999,0.4,0.998
RIR_028_case6.wav,0.447,0.997,0.751,0.991
RIR_028_case7.wav,0.699,0.992,0.817,0.992
RIR_028_case8.wav,0.616,0.999,0.704,0.998
RIR_028_case9.wav,0.364,0.997,0.569,0.99
RIR_029_case0.wav,0.137,0.996,0.22,0.988
RIR_029_case1.wav,0.116,0.999,0.137,0.998
RIR_029_case2.wav,1.849,0.998,2.261,0.996
RIR_029_case3.wav,0.102,1.0,0.118,0.999
RIR_029_case4.wav,0.102,1.0,0.144,0.996
RIR_029_case5.wav,0.353,0.999,0.396,0.998
RIR_029_case6.wav,0.449,0.997,0.718,0.992
RIR_029_case7.wav,0.659,0.994,0.94,0.991
RIR_029_case8.wav,0.606,0.999,0.714,0.998
RIR_029_case9.wav,0.402,0.996,0.587,0.992
RIR_030_case0.wav,0.126,0.99,0.201,0.985
RIR_030_case1.wav,0.091,0.994,0.122,0.993
RIR_030_case2.wav,1.728,0.998,2.127,0.996
RIR_030_case3.wav,0.083,0.995,0.103,0.995
RIR_030_case4.wav,0.076,0.995,0.126,0.99
RIR_030_case5.wav,0.313,0.996,0.382,0.995
RIR_030_case6.wav,0.459,0.99,0.637,0.991
RIR_030_case7.wav,0.478,0.993,0.619,0.989
RIR_030_case8.wav,0.58,0.999,0.687,0.998
RIR_030_case9.wav,0.358,0.996,0.51,0.993
RIR_031_case0.wav,0.162,0.996,0.229,0.991
RIR_031_case1.wav,0.125,0.999,0.146,0.998
RIR_031_case2.wav,1.916,0.998,2.281,0.997
RIR_031_case3.wav,0.111,1.0,0.125,0.999
RIR_031_case4.wav,0.104,1.0,0.143,0.997
RIR_031_case5.wav,0.365,0.999,0.429,0.998
RIR_031_case6.wav,0.477,0.998,0.765,0.991
RIR_031_case7.wav,0.844,0.991,0.862,0.993
RIR_031_case8.wav,0.617,0.999,0.707,0.998
RIR_031_case9.wav,0.349,0.997,0.568,0.99
RIR_032_case0.wav,0.154,0.998,0.246,0.99
RIR_032_case1.wav,0.131,0.999,0.158,0.998
RIR_032_case2.wav,1.917,0.998,2.303,0.997
RIR_032_case3.wav,0.122,1.0,0.13,1.0
RIR_032_case4.wav,0.11,1.0,0.152,0.996
RIR_032_case5.wav,0.374,0.999,0.441,0.998
RIR_032_case6.wav,0.483,0.998,0.761,0.992
RIR_032_case7.wav,0.722,0.995,0.992,0.992
RIR_032_case8.wav,0.606,0.999,0.713,0.998
RIR_032_case9.wav,0.405,0.997,0.602,0.992
RIR_033_case0.wav,0.161,0.994,0.261,0.987
RIR_033_case1.wav,0.115,0.997,0.144,0.996
RIR_033_case2.wav,1.869,0.998,2.236,0.997
RIR_033_case3.wav,0.105,0.998,0.123,0.997
RIR_033_case4.wav,0.116,0.997,0.153,0.994
RIR_033_case5.wav,0.401,0.998,0.433,0.997
RIR_033_case6.wav,0.518,0.994,0.697,0.993
RIR_033_case7.wav,0.634,0.993,0.765,0.994
RIR_033_case8.wav,0.591,0.999,0.692,0.998
RIR_033_case9.wav,0.357,0.996,0.512,0.992
RIR_034_case0.wav,0.155,0.997,0.245,0.99
RIR_034_case1.wav,0.137,0.999,0.159,0.999
RIR_034_case2.wav,1.945,0.998,2.297,0.997
RIR_034_case3.wav,0.121,1.0,0.138,0.999
RIR_034_case4.wav,0.119,0.999,0.151,0.997
RIR_034_case5.wav,0.396,0.999,0.442,0.999
RIR_034_case6.wav,0.464,0.998,0.762,0.992
RIR_034_case7.wav,0.84,0.991,0.875,0.993
RIR_034_case8.wav,0.616,0.999,0.709,0.998
RIR_034_case9.wav,0.362,0.997,0.56,0.99
RIR_035_case0.wav,0.166,0.998,0.244,0.992
RIR_035_case1.wav,0.139,0.999,0.167,0.998
RIR_035_case2.wav,1.948,0.998,2.331,0.997
RIR_035_case3.wav,0.125,0.999,0.139,1.0
RIR_035_case4.wav,0.121,1.0,0.147,0.998
RIR_035_case5.wav,0.399,0.999,0.45,0.999
RIR_035_case6.wav,0.482,0.998,0.768,0.992
RIR_035_case7.wav,0.73,0.993,1.008,0.99
RIR_035_case8.wav,0.609,0.999,0.714,0.998
RIR_035_case9.wav,0.397,0.997,0.598,0.992
RIR_036_case0.wav,0.172,0.993,0.257,0.99
RIR_036_case1.wav,0.127,0.998,0.158,0.996
RIR_036_case2.wav,1.902,0.999,2.262,0.997
RIR_036_case3.wav,0.11,0.999,0.13,0.998
RIR_036_case4.wav,0.11,0.998,0.155,0.994
RIR_036_case5.wav,0.403,0.998,0.445,0.998
RIR_036_case6.wav,0.519,0.995,0.716,0.993
RIR_036_case7.wav,0.691,0.993,0.802,0.994
RIR_036_case8.wav,0.585,0.999,0.692,0.998
RIR_036_case9.wav,0.355,0.996,0.511,0.992
RIR_037_case0.wav,0.153,0.996,0.258,0.989
RIR_037_case1.wav,0.111,0.999,0.138,0.997
RIR_037_case2.wav,1.901,0.998,2.319,0.996
RIR_037_case3.wav,0.103,0.999,0.118,0.998
RIR_037_case4.wav,0.106,0.998,0.135,0.996
RIR_037_case5.wav,0.337,0.999,0.435,0.997
RIR_037_case6.wav,0.42,0.998,0.693,0.99
RIR_037_case7.wav,0.609,0.995,0.758,0.995
RIR_037_case8.wav,0.629,0.999,0.728,0.998
RIR_037_case9.wav,0.418,0.995,0.615,0.991
RIR_038_case0.wav,0.16,0.995,0.249,0.989
RIR_038_case1.wav,0.114,0.999,0.146,0.997
RIR_038_case2.wav,1.873,0.998,2.339,0.996
RIR_038_case3.wav,0.108,0.999,0.128,0.998
RIR_038_case4.wav,0.11,0.999,0.145,0.997
RIR_038_case5.wav,0.379,0.999,0.435,0.998
RIR_038_case6.wav,0.474,0.997,0.826,0.989
RIR_038_case7.wav,0.675,0.996,0.781,0.996
RIR_038_case8.wav,0.63,0.999,0.75,0.998
RIR_038_case9.wav,0.397,0.997,0.526,0.995
RIR_039_case0.wav,0.141,0.996,0.231,0.989
RIR_039_case1.wav,0.114,0.999,0.141,0.998
RIR_039_case2.wav,1.859,0.998,2.321,0.996
RIR_039_case3.wav,0.111,1.0,0.125,0.999
RIR_039_case4.wav,0.109,0.999,0.142,0.997
RIR_039_case5.wav,0.38,0.998,0.463,0.996
RIR_039_case6.wav,0.59,0.995,0.637,0.996
RIR_039_case7.wav,0.58,0.997,0.76,0.994
RIR_039_case8.wav,0.629,0.999,0.698,0.999
RIR_039_case9.wav,0.385,0.997,0.513,0.994
RIR_040_case0.wav,0.156,0.995,0.235,0.99
RIR_040_case1.wav,0.111,0.999,0.142,0.997
RIR_040_case2.wav,1.913,0.998,2.342,0.997
RIR_040_case3.wav,0.104,0.999,0.121,0.998
RIR_040_case4.wav,0.103,0.998,0.135,0.996
RIR_040_case5.wav,0.354,0.999,0.438,0.997
RIR_040_case6.wav,0.426,0.998,0.695,0.99
RIR_040_case7.wav,0.622,0.993,0.779,0.994
RIR_040_case8.wav,0.631,0.999,0.727,0.998
RIR_040_case9.wav,0.416,0.995,0.636,0.991
RIR_041_case0.wav,0.165,0.995,0.238,0.99
RIR_041_case1.wav,0.119,0.999,0.149,0.997
RIR_041_case2.wav,1.902,0.998,2.346,0.996
RIR_041_case3.wav,0.104,0.999,0.125,0.998
RIR_041_case4.wav,0.101,0.999,0.141,0.995
RIR_041_case5.wav,0.356,0.999,0.428,0.998
RIR_041_case6.wav,0.465,0.997,0.793,0.99
RIR_041_case7.wav,0.671,0.995,0.804,0.994
